1, 0.001, 0.728
1, 0.005, 0.73
1, 0.1, 0.758
1, 0.3, 0.778
1, 0.5, 0.784
1, 0.8, 0.776
1, 1.0, 0.77
1, 2.0, 0.766
1, 3.0, 0.766
1, 5.0, 0.76
1, 10.0, 0.752
2, 0.001, 0.784
2, 0.005, 0.784
2, 0.1, 0.786
2, 0.3, 0.802
2, 0.5, 0.812
2, 0.8, 0.8200000000000001
2, 1.0, 0.8200000000000001
2, 2.0, 0.8180000000000001
2, 3.0, 0.796
2, 5.0, 0.78
2, 10.0, 0.766
3, 0.001, 0.786
3, 0.005, 0.786
3, 0.1, 0.804
3, 0.3, 0.806
3, 0.5, 0.8
3, 0.8, 0.8
3, 1.0, 0.808
3, 2.0, 0.8140000000000001
3, 3.0, 0.8200000000000001
3, 5.0, 0.804
3, 10.0, 0.778
4, 0.001, 0.804
4, 0.005, 0.802
4, 0.1, 0.802
4, 0.3, 0.808
4, 0.5, 0.806
4, 0.8, 0.812
4, 1.0, 0.812
4, 2.0, 0.8140000000000001
4, 3.0, 0.812
4, 5.0, 0.8140000000000001
4, 10.0, 0.794
5, 0.001, 0.796
5, 0.005, 0.802
5, 0.1, 0.806
5, 0.3, 0.8140000000000001
5, 0.5, 0.8140000000000001
5, 0.8, 0.812
5, 1.0, 0.812
5, 2.0, 0.81
5, 3.0, 0.8160000000000001
5, 5.0, 0.8140000000000001
5, 10.0, 0.804
2, 0.0, 0.786
2, 0.0, 0.728
2, 1.0, 0.774
2, 1.0, 0.8160000000000001
2, 1.0, 0.772
2, 0.0, 0.786
2, 1.0, 0.81
2, 1.0, 0.8180000000000001
2, 1.0, 0.796
2, 1.0, 0.81
3, 1.0, 0.802
4, 1.0, 0.804
5, 1.0, 0.796
